25년도 매출,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계
18033000,,,,,,,,,,,,18033000
,,,,,,,,,,,,
24년도 매출,,,,,,,,,,,,
1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계
27684400,3371400,7887000,2293700,2164800,148500,1532800,3329300,4186400,6604000,20531900,11554100,91288300
,,,,,,,,,,,,
23년도매출,,,,,,,,,,,,
1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계
9024200,14941300,11142600,7543200,13353200,9457000,7509500,2525600,18224400,12110000,8738500,6321500,120891000
,,,,,,,,,,,,
22년도매출,,,,,,,,,,,,
1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계
3131000,4402000,4272000,11463700,10356000,10741900,16981700,8240300,4599300,4471900,3382400,8947700,90989900
